Category,Furniture,
,,
0,Sum of Sales,Sum of Quantity
12-1/2 Diameter Round Wall Clock,551.448,36
24-Hour Round Wall Clock,487.512,27
36X48 HARDFLOOR CHAIRMAT,369.248,21
3M Hangers With Command Adhesive,108.04,33
3M Polarizing Light Filter Sleeves,216.34,14
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68,16
"6"" Cubicle Wall Clock, Black",124.586,19
9-3/4 Diameter Round Wall Clock,455.07,34
Acrylic Self-Standing Desk Frames,93.984,37
"Advantus Clock, Black",2685.1275,70
"Advantus Clock, Duo Pack",2861.4775,71
"Advantus Clock, Durable",2233.776,56
"Advantus Clock, Erganomic",1090.218,26
"Advantus Door Stop, Black",2739.6252,79
"Advantus Door Stop, Duo Pack",1748.8908,51
"Advantus Door Stop, Durable",1636.134,68
"Advantus Door Stop, Erganomic",3394.515,104
"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",822.738,28
"Advantus Frame, Black",4881.872,67
"Advantus Frame, Duo Pack",4453.8708,55
"Advantus Frame, Durable",6335.7875,77
"Advantus Frame, Erganomic",5416.4006,65
"Advantus Light Bulb, Black",984.5004,79
"Advantus Light Bulb, Duo Pack",882.365,58
"Advantus Light Bulb, Durable",972.249,73
"Advantus Light Bulb, Erganomic",858.5563,71
Advantus Panel Wall Acrylic Frame,87.52,20
Advantus Panel Wall Certificate Holder - 8.5x11,270.84,23
"Advantus Photo Frame, Black",3854.8248,96
"Advantus Photo Frame, Duo Pack",3007.368,76
"Advantus Photo Frame, Durable",1891.7116,51
"Advantus Photo Frame, Erganomic",3188.88,80
"Advantus Stacking Tray, Black",1545.3621,76
"Advantus Stacking Tray, Durable",1672.737,74
"Advantus Stacking Tray, Erganomic",2407.9029,131
Aluminum Document Frame,244.4,22
Anderson Hickey Conga Table Tops & Accessories,51.782,5
Artistic Insta-Plaque,156.8,10
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",400.0268,3
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.7122,35
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.081,27
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.885,26
Balt Solid Wood Rectangular Table,828.0965,11
Balt Solid Wood Round Tables,6518.754,19
Balt Split Level Computer Training Table,1040.625,12
